file,type,from,suggested
add_user.php,"HTML text",Head,"><?= __('Head') ?><"
add_user.php,"HTML text",Staff,"><?= __('Staff') ?><"
add_user.php,"HTML text","Primary Branch","><?= __('Primary Branch') ?><"
add_user.php,"HTML text","-- Select Branch --","><?= __('-- Select Branch --') ?><"
add_user.php,"HTML text","Profile PIC / Department","><?= __('Profile PIC / Department') ?><"
add_user.php,"HTML text","3. Ticket Visibility Permission","><?= __('3. Ticket Visibility Permission') ?><"
add_user.php,"HTML text","Final rule:","><?= __('Final rule:') ?><"
add_user.php,"HTML text","Admin sees all. Head sees checked Branch + checked PIC. Staff sees own Primary Branch + checked User Own PIC only.","> <?= __('Admin sees all. Head sees checked Branch + checked PIC. Staff sees own Primary Branch + checked User Own PIC only.') ?><"
add_user.php,"HTML text","Branch Access for Head","><?= __('Branch Access for Head') ?><"
add_user.php,"HTML text","Select All Branch","><?= __('Select All Branch') ?><"
add_user.php,"HTML text","Clear Branch","><?= __('Clear Branch') ?><"
add_user.php,"HTML text","PIC Access / User Own PIC","><?= __('PIC Access / User Own PIC') ?><"
add_user.php,"HTML text","Select All PIC","><?= __('Select All PIC') ?><"
add_user.php,"HTML text","Clear PIC","><?= __('Clear PIC') ?><"
add_user.php,"HTML text","Person In Charge","><?= __('Person In Charge') ?><"
add_user.php,"HTML text",Cancel,"><?= __('Cancel') ?><"
add_user.php,"HTML text","Create User","> <?= __('Create User') ?><"
administration.php,"HTML text","Administration Control Panel","> <?= __('Administration Control Panel') ?><"
administration.php,"HTML text","3-role system only: Admin, Head, Staff. Tick the functions here once and every user under that role follows it.","><?= __('3-role system only: Admin, Head, Staff. Tick the functions here once and every user under that role follows it.') ?><"
administration.php,"HTML text","Total Users","><?= __('Total Users') ?><"
administration.php,"HTML text",Head,"><?= __('Head') ?><"
administration.php,"HTML text",Staff,"><?= __('Staff') ?><"
administration.php,"HTML text",Branches,"><?= __('Branches') ?><"
administration.php,"HTML text","Active PIC","><?= __('Active PIC') ?><"
administration.php,"HTML text","Role Permission Checkbox Matrix","><?= __('Role Permission Checkbox Matrix') ?><"
administration.php,"HTML text","Admin always has all permissions and is not shown. Head / Staff are controlled here globally.","><?= __('Admin always has all permissions and is not shown. Head / Staff are controlled here globally.') ?><"
administration.php,"HTML text","Tick all Head","><?= __('Tick all Head') ?><"
administration.php,"HTML text","Clear Head","><?= __('Clear Head') ?><"
administration.php,"HTML text","Tick all Staff","><?= __('Tick all Staff') ?><"
administration.php,"HTML text","Clear Staff","><?= __('Clear Staff') ?><"
administration.php,"HTML text",Function,"><?= __('Function') ?><"
administration.php,"HTML text",Head,"><?= __('Head') ?><"
administration.php,"HTML text",Staff,"><?= __('Staff') ?><"
administration.php,"HTML text",Description,"><?= __('Description') ?><"
administration.php,"HTML text","Menu / Page Access","><?= __('Menu / Page Access') ?><"
administration.php,"HTML text","Action Permission","><?= __('Action Permission') ?><"
administration.php,"HTML text","Save Role Permissions","> <?= __('Save Role Permissions') ?><"
administration.php,"PHP die/exit","Access Denied","die(__('Access Denied'));"
announcements.php,"HTML text","'admin' AND branch IS NOT NULL AND branch","> <?= __('\'admin\' AND branch IS NOT NULL AND branch') ?> <"
announcements.php,"HTML text",to,"> <?= __('to') ?> <"
announcements_original.php,"HTML text","📢 Announcements","><?= __('📢 Announcements') ?><"
announcements_original.php,"HTML text","Company notices and internal updates","><?= __('Company notices and internal updates') ?><"
announcements_original.php,"HTML text","Add Announcement","><?= __('Add Announcement') ?><"
announcements_original.php,"HTML text","Active Only","><?= __('Active Only') ?><"
announcements_original.php,"HTML text",All,"><?= __('All') ?><"
announcements_original.php,"HTML text",Search,"><?= __('Search') ?><"
announcements_original.php,"HTML text",Active:,">
                <?= __('Active:') ?>
                <"
announcements_original.php,"HTML text",to,">
                <?= __('to') ?>
                <"
announcements_original.php,"HTML text","· Posted by",">
                <?= __('· Posted by') ?> <"
announcements_original.php,"HTML text",Delete,"><?= __('Delete') ?><"
announcements_original.php,"HTML text","No announcements found.","><?= __('No announcements found.') ?><"
announcements_original.php,placeholder,"Search announcement...","placeholder=""<?= __('Search announcement...') ?>"""
announcements_original.php,"JS dialog","Delete this announcement?","confirm(<?= json_encode(__('Delete this announcement?')) ?>)"
announcement_read_report.php,"HTML text","query("" SELECT id, title, created_at FROM announcements WHERE (start_date IS NULL OR start_date","><?= __('query("" SELECT id, title, created_at FROM announcements WHERE (start_date IS NULL OR start_date') ?> <"
announcement_read_report.php,"HTML text","Announcement Read Status","><?= __('Announcement Read Status') ?><"
announcement_read_report.php,"HTML text",Back,"><?= __('Back') ?><"
announcement_read_report.php,"HTML text","Branch Summary","><?= __('Branch Summary') ?><"
announcement_read_report.php,"HTML text",Branch,"><?= __('Branch') ?><"
announcement_read_report.php,"HTML text","Read %","><?= __('Read %') ?><"
announcement_read_report.php,"HTML text","User Details","><?= __('User Details') ?><"
announcement_read_report.php,"HTML text",Branch,"><?= __('Branch') ?><"
announcement_read_report.php,"HTML text",Username,"><?= __('Username') ?><"
announcement_read_report.php,"HTML text","Full Name","><?= __('Full Name') ?><"
announcement_read_report.php,"HTML text",Role,"><?= __('Role') ?><"
announcement_read_report.php,"HTML text",Status,"><?= __('Status') ?><"
asset_history.php,"HTML text",Back,"> <?= __('Back') ?>
            <"
asset_history.php,"HTML text","Asset Code","><?= __('Asset Code') ?><"
asset_history.php,"HTML text",Branch,"><?= __('Branch') ?><"
asset_history.php,"HTML text",Status,"><?= __('Status') ?><"
asset_history.php,"HTML text",Brand,"><?= __('Brand') ?><"
asset_history.php,"HTML text",Model,"><?= __('Model') ?><"
asset_history.php,"HTML text","Serial No","><?= __('Serial No') ?><"
asset_history.php,"HTML text",Location,"><?= __('Location') ?><"
asset_history.php,"HTML text",Remark,"><?= __('Remark') ?><"
asset_history.php,"HTML text",Action,"><?= __('Action') ?><"
asset_history.php,"PHP die/exit","Asset not found","die(__('Asset not found'));"
asset_list.php,"HTML text","Asset Management","><?= __('Asset Management') ?><"
asset_list.php,"HTML text","Manage POS, printers, scanners, PCs, network equipment and photos.","><?= __('Manage POS, printers, scanners, PCs, network equipment and photos.') ?><"
asset_list.php,"HTML text","Add Asset","><?= __('Add Asset') ?><"
asset_list.php,"HTML text","All Status","><?= __('All Status') ?><"
asset_list.php,"HTML text",Active,"><?= __('Active') ?><"
asset_list.php,"HTML text",Repair,"><?= __('Repair') ?><"
asset_list.php,"HTML text",Inactive,"><?= __('Inactive') ?><"
asset_list.php,"HTML text",Disposed,"><?= __('Disposed') ?><"
asset_list.php,"HTML text",Search,"><?= __('Search') ?><"
asset_list.php,"HTML text",Reset,"><?= __('Reset') ?><"
asset_list.php,"HTML text",Photo,"><?= __('Photo') ?><"
asset_list.php,"HTML text",No.,"><?= __('No.') ?><"
asset_list.php,"HTML text","Asset Code","><?= __('Asset Code') ?><"
asset_list.php,"HTML text",Branch,"><?= __('Branch') ?><"
asset_list.php,"HTML text",Location,"><?= __('Location') ?><"
asset_list.php,"HTML text",Status,"><?= __('Status') ?><"
asset_list.php,"HTML text","Serial No","><?= __('Serial No') ?><"
asset_list.php,"HTML text",Tickets,"><?= __('Tickets') ?><"
asset_list.php,"HTML text",Action,"><?= __('Action') ?><"
asset_list.php,"HTML text","No Photo","><?= __('No Photo') ?><"
asset_list.php,"HTML text",History,"><?= __('History') ?><"
asset_list.php,"HTML text",Edit,"><?= __('Edit') ?><"
asset_list.php,"HTML text",Disable,"><?= __('Disable') ?><"
asset_list.php,"HTML text",Enable,"><?= __('Enable') ?><"
asset_list.php,"HTML text",Delete,"><?= __('Delete') ?><"
asset_list.php,"HTML text","No Photo","><?= __('No Photo') ?><"
asset_list.php,"HTML text",Branch,"><?= __('Branch') ?><"
asset_list.php,"HTML text",Location,"><?= __('Location') ?><"
asset_list.php,"HTML text","Serial No","><?= __('Serial No') ?><"
asset_list.php,"HTML text","Brand / Model","><?= __('Brand / Model') ?><"
asset_list.php,"HTML text",History,"><?= __('History') ?><"
asset_list.php,"HTML text",Edit,"><?= __('Edit') ?><"
asset_list.php,"HTML text",Disable,"><?= __('Disable') ?><"
asset_list.php,"HTML text",Enable,"><?= __('Enable') ?><"
asset_list.php,"HTML text","Asset Photo","><?= __('Asset Photo') ?><"
asset_list.php,placeholder,"Search asset code, name, branch, serial no...","placeholder=""<?= __('Search asset code, name, branch, serial no...') ?>"""
asset_list.php,title,"Cannot delete asset with linked tickets","title=""<?= __('Cannot delete asset with linked tickets') ?>"""
asset_list.php,alt,"Asset photo","alt=""<?= __('Asset photo') ?>"""
asset_list.php,alt,"Asset photo","alt=""<?= __('Asset photo') ?>"""
asset_list.php,alt,"Asset photo preview","alt=""<?= __('Asset photo preview') ?>"""
asset_list.php,aria-label,Close,"aria-label=""<?= __('Close') ?>"""
asset_list.php,"JS dialog","Delete this asset permanently?\n\nIf this asset has related tickets, deletion will be blocked.","confirm(<?= json_encode(__('Delete this asset permanently?\\n\\nIf this asset has related tickets, deletion will be blocked.')) ?>)"
asset_list.php,"JS dialog","Disable this asset?","confirm(<?= json_encode(__('Disable this asset?')) ?>)"
asset_list.php,"JS dialog","Enable this asset?","confirm(<?= json_encode(__('Enable this asset?')) ?>)"
asset_type_management.php,"HTML text","Asset Type Management","><?= __('Asset Type Management') ?><"
asset_type_management.php,"HTML text","Maintain Asset Type list used by Add Asset, Edit Asset and Asset filtering.","><?= __('Maintain Asset Type list used by Add Asset, Edit Asset and Asset filtering.') ?><"
asset_type_management.php,"HTML text","Back to Administration","><?= __('Back to Administration') ?><"
asset_type_management.php,"HTML text","Add Asset Type","><?= __('Add Asset Type') ?><"
asset_type_management.php,"HTML text","Asset Type Name","><?= __('Asset Type Name') ?><"
asset_type_management.php,"HTML text","Sort Order","><?= __('Sort Order') ?><"
asset_type_management.php,"HTML text","Add Asset Type","><?= __('Add Asset Type') ?><"
asset_type_management.php,"HTML text","Asset Type List","><?= __('Asset Type List') ?><"
asset_type_management.php,"HTML text",No.,"><?= __('No.') ?><"
asset_type_management.php,"HTML text","Asset Type","><?= __('Asset Type') ?><"
asset_type_management.php,"HTML text",Sort,"><?= __('Sort') ?><"
asset_type_management.php,"HTML text",Status,"><?= __('Status') ?><"
asset_type_management.php,"HTML text",Used,"><?= __('Used') ?><"
asset_type_management.php,"HTML text",Action,"><?= __('Action') ?><"
asset_type_management.php,"HTML text","No asset type found.","><?= __('No asset type found.') ?><"
asset_type_management.php,"HTML text",Active,"><?= __('Active') ?><"
asset_type_management.php,"HTML text",Inactive,"><?= __('Inactive') ?><"
asset_type_management.php,"HTML text",Save,"><?= __('Save') ?><"
asset_type_management.php,"HTML text",Delete,"><?= __('Delete') ?><"
asset_type_management.php,"HTML text","In Use","><?= __('In Use') ?><"
asset_type_management.php,"HTML text","Linked pages:","><?= __('Linked pages:') ?><"
asset_type_management.php,placeholder,"Example: POS, Printer, Router","placeholder=""<?= __('Example: POS, Printer, Router') ?>"""
asset_type_management.php,title,"Already used by assets. Disable instead.","title=""<?= __('Already used by assets. Disable instead.') ?>"""
asset_type_management.php,"JS dialog","Delete this unused asset type?","confirm(<?= json_encode(__('Delete this unused asset type?')) ?>)"
assign_ticket.php,"PHP die/exit","Invalid ticket.","die(__('Invalid ticket.'));"
assign_ticket.php,"PHP die/exit","Ticket not found.","die(__('Ticket not found.'));"
assign_ticket.php,"PHP die/exit","Access Denied","die(__('Access Denied'));"
assign_ticket.php,"PHP die/exit","Invalid assigned user selected.","die(__('Invalid assigned user selected.'));"
assign_to_management.php,"HTML text",Back,"> <?= __('Back') ?>
    <"
assign_to_management.php,"HTML text","Example: IT Team, KIAT, Vendor, POS Support.","><?= __('Example: IT Team, KIAT, Vendor, POS Support.') ?><"
assign_to_management.php,"HTML text","Email Optional","><?= __('Email Optional') ?><"
assign_to_management.php,"HTML text",Add,"> <?= __('Add') ?>
                <"
assign_to_management.php,"HTML text","Inactive items will not appear in Create Ticket / 指派工单 dropdown.","><?= __('Inactive items will not appear in Create Ticket / 指派工单 dropdown.') ?><"
assign_to_management.php,"HTML text",No.,"><?= __('No.') ?><"
assign_to_management.php,"HTML text",Email,"><?= __('Email') ?><"
assign_to_management.php,"HTML text",Status,"><?= __('Status') ?><"
assign_to_management.php,"HTML text",Action,"><?= __('Action') ?><"
assign_to_management.php,"HTML text",Active,"><?= __('Active') ?><"
assign_to_management.php,"HTML text",Inactive,"><?= __('Inactive') ?><"
assign_to_management.php,"HTML text",Active,"><?= __('Active') ?><"
assign_to_management.php,"HTML text",Inactive,"><?= __('Inactive') ?><"
assign_to_management.php,"HTML text",Save,">
                                    <?= __('Save') ?>
                                <"
assign_to_management.php,"HTML text",Toggle,">
                                    <?= __('Toggle') ?>
                                <"
assign_to_management.php,"HTML text",Delete,">
                                    <?= __('Delete') ?>
                                <"
assign_to_management.php,placeholder,optional@email.com,"placeholder=""<?= __('optional@email.com') ?>"""
assign_to_management.php,placeholder,Search...,"placeholder=""<?= __('Search...') ?>"""
assign_to_management.php,placeholder,"Email optional","placeholder=""<?= __('Email optional') ?>"""
attachment_preview.php,"HTML text","Your browser cannot play this video.",">
                    <?= __('Your browser cannot play this video.') ?>
                <"
attachment_preview.php,"HTML text",Voice,"> <?= __('Voice') ?><"
attachment_preview.php,"HTML text",Preview,"> <?= __('Preview') ?><"
attachment_preview.php,"HTML text",Download,"> <?= __('Download') ?><"
attachment_preview.php,"HTML text",Download,"> <?= __('Download') ?><"
attachment_preview.php,title,Download,"title=""<?= __('Download') ?>"""
attachment_preview.php,aria-label,"Play voice","aria-label=""<?= __('Play voice') ?>"""
attachment_preview.php,aria-label,Close,"aria-label=""<?= __('Close') ?>"""
attachment_preview.php,aria-label,Close,"aria-label=""<?= __('Close') ?>"""
attachment_stream.php,"HTML text","$end || $start","> <?= __('$end || $start') ?> <"
attachment_upload_helper.php,"PHP die/exit","Invalid uploaded file.","die(__('Invalid uploaded file.'));"
attachment_upload_helper.php,"PHP die/exit","Invalid attachment type. Allowed: jpg, jpeg, png, gif, webp, pdf, doc, docx, xls, xlsx, mp3, m4a, wav, aac, ogg, webm, mp4, mov, m4v","die(__('Invalid attachment type. Allowed: jpg, jpeg, png, gif, webp, pdf, doc, docx, xls, xlsx, mp3, m4a, wav, aac, ogg, webm, mp4, mov, m4v'));"
attachment_upload_helper.php,"PHP die/exit","Failed to upload attachment.","die(__('Failed to upload attachment.'));"
audit_logs.php,"HTML text","Track login, logout, create, edit, delete and export activities.","><?= __('Track login, logout, create, edit, delete and export activities.') ?><"
audit_logs.php,"HTML text","🖨 Print","><?= __('🖨 Print') ?><"
audit_logs.php,"HTML text","⬇ Export CSV","><?= __('⬇ Export CSV') ?><"
audit_logs.php,"HTML text","Export CSV","><?= __('Export CSV') ?><"
audit_logs.php,"HTML text",Showing,"><?= __('Showing') ?> <"
audit_logs.php,"HTML text",of,"> <?= __('of') ?> <"
audit_logs.php,"HTML text","filtered records","> <?= __('filtered records') ?><"
audit_logs.php,"HTML text",Page,"><?= __('Page') ?> <"
audit_logs.php,"HTML text",ID:,"><?= __('ID:') ?> <"
audit_logs.php,"HTML text",Showing,"><?= __('Showing') ?> <"
audit_logs.php,"HTML text",to,"> <?= __('to') ?> <"
audit_logs.php,"HTML text",of,"> <?= __('of') ?> <"
audit_logs.php,"HTML text",records,"> <?= __('records') ?><"
audit_logs.php,"HTML text","‹ Previous","><?= __('‹ Previous') ?><"
audit_logs.php,"HTML text","Next ›","><?= __('Next ›') ?><"
audit_logs.php,placeholder,"Search user, action or details...","placeholder=""<?= __('Search user, action or details...') ?>"""
branch_management.php,"HTML text","Branch Management","><?= __('Branch Management') ?><"
branch_management.php,"HTML text","Add, edit, disable or delete branch records.","><?= __('Add, edit, disable or delete branch records.') ?><"
branch_management.php,"HTML text",Back,"> <?= __('Back') ?>
    <"
branch_management.php,"HTML text","Add Branch","><?= __('Add Branch') ?><"
branch_management.php,"HTML text","Add, edit, disable or delete branch records.","><?= __('Add, edit, disable or delete branch records.') ?><"
branch_management.php,"HTML text","Branch Code","><?= __('Branch Code') ?><"
branch_management.php,"HTML text","Branch Name","><?= __('Branch Name') ?><"
branch_management.php,"HTML text",Add,"> <?= __('Add') ?>
                <"
branch_management.php,"HTML text","Branch List","><?= __('Branch List') ?><"
branch_management.php,"HTML text","Inactive items will not appear in dropdowns. Used records are disabled instead of deleted to protect old tickets.","><?= __('Inactive items will not appear in dropdowns. Used records are disabled instead of deleted to protect old tickets.') ?><"
branch_management.php,"HTML text",No.,"><?= __('No.') ?><"
branch_management.php,"HTML text","Branch Code","><?= __('Branch Code') ?><"
branch_management.php,"HTML text","Branch Name","><?= __('Branch Name') ?><"
branch_management.php,"HTML text",Status,"><?= __('Status') ?><"
branch_management.php,"HTML text",Action,"><?= __('Action') ?><"
branch_management.php,"HTML text",Active,"><?= __('Active') ?><"
branch_management.php,"HTML text",Inactive,"><?= __('Inactive') ?><"
branch_management.php,"HTML text",Save,"><?= __('Save') ?><"
branch_management.php,"HTML text",Toggle,"><?= __('Toggle') ?><"
branch_management.php,"HTML text",Delete,"><?= __('Delete') ?><"
branch_management.php,"HTML text","No records found.","><?= __('No records found.') ?><"
branch_management.php,placeholder,Search...,"placeholder=""<?= __('Search...') ?>"""
branch_management.php,"JS dialog","Delete this item?","confirm(<?= json_encode(__('Delete this item?')) ?>)"
category_management.php,"HTML text","Category Management","><?= __('Category Management') ?><"
category_management.php,"HTML text","Add, edit, disable or delete Ticket Category options.","><?= __('Add, edit, disable or delete Ticket Category options.') ?><"
category_management.php,"HTML text",Back,"> <?= __('Back') ?>
    <"
category_management.php,"HTML text","Add Category","><?= __('Add Category') ?><"
category_management.php,"HTML text","Add, edit, disable or delete Ticket Category options.","><?= __('Add, edit, disable or delete Ticket Category options.') ?><"
category_management.php,"HTML text","Category Name","><?= __('Category Name') ?><"
category_management.php,"HTML text","Default Priority","><?= __('Default Priority') ?><"
category_management.php,"HTML text",Add,"> <?= __('Add') ?>
                <"
category_management.php,"HTML text","Category List","><?= __('Category List') ?><"
category_management.php,"HTML text","Inactive items will not appear in dropdowns. Used records are disabled instead of deleted to protect old tickets.","><?= __('Inactive items will not appear in dropdowns. Used records are disabled instead of deleted to protect old tickets.') ?><"
category_management.php,"HTML text",No.,"><?= __('No.') ?><"
category_management.php,"HTML text","Category Name","><?= __('Category Name') ?><"
category_management.php,"HTML text","Default Priority","><?= __('Default Priority') ?><"
category_management.php,"HTML text",Status,"><?= __('Status') ?><"
category_management.php,"HTML text",Action,"><?= __('Action') ?><"
category_management.php,"HTML text",Active,"><?= __('Active') ?><"
category_management.php,"HTML text",Inactive,"><?= __('Inactive') ?><"
category_management.php,"HTML text",Save,"><?= __('Save') ?><"
category_management.php,"HTML text",Toggle,"><?= __('Toggle') ?><"
category_management.php,"HTML text",Delete,"><?= __('Delete') ?><"
category_management.php,"HTML text","No records found.","><?= __('No records found.') ?><"
category_management.php,placeholder,Search...,"placeholder=""<?= __('Search...') ?>"""
category_management.php,"JS dialog","Delete this item?","confirm(<?= json_encode(__('Delete this item?')) ?>)"
closed_tickets.php,"HTML text",'.h($label).',"><?= __('\'.h($label).\'') ?> <"
closed_tickets.php,"HTML text",'.$icon.',"><?= __('\'.$icon.\'') ?><"
closed_tickets.php,"HTML text",Export,">
        <?= __('Export') ?>
    <"
closed_tickets.php,"HTML text","Search / Filter",">
        <?= __('Search / Filter') ?>
    <"
closed_tickets.php,"HTML text",Export,"> <?= __('Export') ?><"
closed_tickets.php,"HTML text","Open only when needed","><?= __('Open only when needed') ?><"
closed_tickets.php,"HTML text","Export Closed CSV","> <?= __('Export Closed CSV') ?>
            <"
closed_tickets.php,"HTML text","Search / Filter","> <?= __('Search / Filter') ?><"
closed_tickets.php,"HTML text",Search,"><?= __('Search') ?><"
closed_tickets.php,"HTML text",Branch,"><?= __('Branch') ?><"
closed_tickets.php,"HTML text","All Branches","><?= __('All Branches') ?><"
closed_tickets.php,"HTML text",Priority,"><?= __('Priority') ?><"
closed_tickets.php,"HTML text","All Priorities","><?= __('All Priorities') ?><"
closed_tickets.php,"HTML text",Search,"> <?= __('Search') ?><"
closed_tickets.php,"HTML text",Reset,"><?= __('Reset') ?><"
closed_tickets.php,"HTML text",No.,"><?= __('No.') ?><"
closed_tickets.php,"HTML text",Action,"><?= __('Action') ?><"
closed_tickets.php,"HTML text",View,"><?= __('View') ?><"
closed_tickets.php,placeholder,"Search ticket no, title, description, PIC, assignee...","placeholder=""<?= __('Search ticket no, title, description, PIC, assignee...') ?>"""
closed_tickets.php,"JS dialog","Delete this closed ticket? This action cannot be undone.","confirm(<?= json_encode(__('Delete this closed ticket? This action cannot be undone.')) ?>)"
closed_tickets.php,"JS dialog","Delete this closed ticket? This action cannot be undone.","confirm(<?= json_encode(__('Delete this closed ticket? This action cannot be undone.')) ?>)"
create_ticket.php,"HTML text",'+escapeHtml(CT_I18N.no_suggested_article)+',"><?= __('\'+escapeHtml(CT_I18N.no_suggested_article)+\'') ?><"
create_ticket.php,"HTML text","' + fileIcon(f) + '","><?= __('\' + fileIcon(f) + \'') ?><"
create_ticket.php,"HTML text","' + escapeHtml(f.name||'attachment') + '","><?= __('\' + escapeHtml(f.name||\'attachment\') + \'') ?><"
create_ticket.php,"HTML text","' + escapeHtml(formatFileSize(f.size||0)) + '","><?= __('\' + escapeHtml(formatFileSize(f.size||0)) + \'') ?><"
create_ticket.php,"HTML text","' + safeTitle + '","><?= __('\' + safeTitle + \'') ?><"
